#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	sip
#open	2025-03-08-02-22-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	uri	date	request_from	request_to	response_from	response_to	reply_to	call_id	seq	subject	request_path	response_path	user_agent	status_code	status_msg	warning	request_body_len	response_body_len	content_type
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	string	string	string	string	vector[string]	vector[string]	string	count	string	string	count	count	string
1424258803.861105	CgM8ZaGKcjXbbTz68	175.45.176.3	44861	149.171.126.12	5060	0	BYE	sip:axJMwpA33gDXzfZ74qoCmeBYncDZVR@149.171.126.12	-	"GVkGzbEsop" <sip:SKZnygROmiz3Fr3@175.45.176.3>	"asjhhux7yenSM" <sip:axJMwpA33gDXzfZ74qoCmeBYncDZVR@149.171.126.12>	"GVkGzbEsop" <sip:SKZnygROmiz3Fr3@175.45.176.3>	"asjhhux7yenSM" <sip:axJMwpA33gDXzfZ74qoCmeBYncDZVR@149.171.126.12>	-	21531@175.45.176.3	1729710850 BYE	B9reKJgfsKHC	SIP/2.0/UDP 175.45.176.3,SIP/2.0/UDP 175.45.176.3	SIP/2.0/UDP 175.45.176.3	-	251	0984241 oqguIHvYfA3ybmq4WxA4eZL6eJ3vKp2985uKm	-	216	0	-
1424258899.616111	CLYEAd3FMfGKwELG05	175.45.176.0	17654	149.171.126.11	5060	0	REGISTER	sip:vzzSQIb4W0d@149.171.126.11	-	"QGEgu1kILzI01" <sip:iLdLQ3MfxlW@175.45.176.0>	"vSRw8c" <sip:vzzSQIb4W0d@149.171.126.11>	"QGEgu1kILzI01" <sip:iLdLQ3MfxlW@175.45.176.0>	"vSRw8c" <sip:vzzSQIb4W0d@149.171.126.11>	-	50610@175.45.176.0	1873911084 REGISTER	bJ9y6fM0SfE NY0nxyKdwMqt	SIP/2.0/UDP 175.45.176.0;rport=17654,SIP/2.0/UDP 175.45.176.0;rport=17654	SIP/2.0/UDP 175.45.176.0	-	505	Version Not Supported	-	228	0	-
1424258901.045458	CvIEcd1F4z0bvFiGA6	175.45.176.1	22900	149.171.126.10	5060	0	ACK	sip:vh35HPiqlUlNylniQDXCSxH@149.171.126.10	-	"vFIKItpiLKN9" <sip:on2yH0aSPho3M0nxqtq@175.45.176.1>	"kJJ1Dk" <sip:vh35HPiqlUlNylniQDXCSxH@149.171.126.10>	-	-	-	33091@175.45.176.1	2443571530 ACK	Xez4GtFH8	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	(empty)	-	-	-	-	213	-	-
1424258905.319296	CQhBQz1zQCugZ3CFue	175.45.176.0	65259	149.171.126.13	5060	0	BYE	sip:JeNMhaWmqbkKUBAoc@149.171.126.13	-	"DUXzJ4jR5" <sip:TitDSAFE3Xo4B02TN9ozRv5wX@175.45.176.0>	p8liA.J;TgnYW <sip:JeNMhaWmqbkKUBAoc@149.171.126.13>	-	-	-	43723@175.45.176.0	7764 BYE	qoHkaPzSi	SIP/2.0/UDP 175.45.176.0;rport=65259,SIP/2.0/UDP 175.45.176.0;rport=65259	(empty)	-	-	-	-	213	-	-
1424258935.931279	CFspBt36rmXaoXXSFi	175.45.176.2	11084	149.171.126.14	5060	0	ACK	sip:rDncODy4RlgNhfGfG32ST1QMw@149.171.126.14	-	"4TLoTBHNOZ7" <sip:Uwg@175.45.176.2>	"1x9qgmXh0" <sip:rDncODy4RlgNhfGfG32ST1QMw@149.171.126.14>	-	-	-	10029@175.45.176.2	8987 ACK	UsDZxwSY	SIP/2.0/UDP 175.45.176.2,SIP/2.0/UDP 175.45.176.2	(empty)	-	-	-	-	212	-	-
1424259185.269010	CCyoqB2NiiG8VJdJCe	175.45.176.1	12220	149.171.126.19	5060	0	INVITE	sip:mCKtvFZjAOHpDq@149.171.126.19	-	"QfcvIrSCSkbfO" <sip:QfcvIrSCSkbfO@175.45.176.1>	"mCKtvFZjAOHpDq" <sip:mCKtvFZjAOHpDq@149.171.126.19>	"QfcvIrSCSkbfO" <sip:QfcvIrSCSkbfO@175.45.176.1>	"mCKtvFZjAOHpDq" <sip:mCKtvFZjAOHpDq@149.171.126.19>	-	31651@175.45.176.1	26 INVITE	-	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	SIP/2.0/UDP 175.45.176.1	-	100	TRYING	-	52	204	application/sdp
1424259185.269010	CCyoqB2NiiG8VJdJCe	175.45.176.1	12220	149.171.126.19	5060	0	INVITE	sip:mCKtvFZjAOHpDq@149.171.126.19	-	"QfcvIrSCSkbfO" <sip:QfcvIrSCSkbfO@175.45.176.1>	"mCKtvFZjAOHpDq" <sip:mCKtvFZjAOHpDq@149.171.126.19>	"QfcvIrSCSkbfO" <sip:QfcvIrSCSkbfO@175.45.176.1>	"mCKtvFZjAOHpDq" <sip:mCKtvFZjAOHpDq@149.171.126.19>	-	31651@175.45.176.1	26 INVITE	-	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	SIP/2.0/UDP 175.45.176.1	-	100	TRYING	-	52	204	application/sdp
1424259301.271138	CDCK8I33n3V7IzGjP9	175.45.176.1	52008	149.171.126.17	5060	0	ACK	sip:JX6OMqOuIbr9Sl0VShs@149.171.126.17	-	"hg3Plm" <sip:auTmFN3gfBAxh9OPUuZYlghL725d@175.45.176.1>	"SSfIjlZ5ka" <sip:JX6OMqOuIbr9Sl0VShs@149.171.126.17>	-	-	-	40016@175.45.176.1	44509 ACK	XBDIHd6fKClA5JDp	SIP/2.0/UDP 175.45.176.1;rport=52008,SIP/2.0/UDP 175.45.176.1;rport=52008	(empty)	-	-	-	-	220	-	-
1424259343.330247	CDnZqaoCv9xT4j7Hd	175.45.176.1	12308	149.171.126.16	5060	0	CANCEL	sip:MvIjOpjNMxWOrYhQw@149.171.126.16	-	"fzUUBOXBMnz" <sip:cKi7yiteFq01a6ZfCwUx6RCGIYNuli@175.45.176.1>	"yVBvTlfn89YARQl" <PVcQ:qcyeylqFIgotyG>	-	-	-	42404@175.45.176.1	61642 CANCEL	n2lXZIzbeJNFv8PIix	SIP/2.0/UDP 175.45.176.1;rport=12308,SIP/2.0/UDP 175.45.176.1;rport=12308	(empty)	-	-	-	-	222	-	-
1424259413.287915	Crx1W534Qna9zsMfxh	175.45.176.2	49695	149.171.126.19	5060	0	INVITE	sip:NNr1SKEglUeXXGyJbrdGTZCoSMK4@149.171.126.19	-	"UrVSak9a36LiOaA" <sip:fOoQ0ok5MDxK0N19MUL0gz001@175.45.176.2>	"Bw67gP9" <sip:NNr1SKEglUeXXGyJbrdGTZCoSMK4@149.171.126.19>	-	-	-	<<<ImG/s "R='>'" =">'>" '' srC="a" \x09oNeRrOR="aLeRT('ErpaoWDOiGsRQqV')"/A>>@175.45.176.2	45620 INVITE	r66w9Umuf7cXZz9v	SIP/2.0/UDP 175.45.176.2;rport=49695,SIP/2.0/UDP 175.45.176.2;rport=49695	(empty)	-	-	-	-	220	-	-
1424259453.264787	CswxAm4DVmXVKKrey6	175.45.176.3	14093	149.171.126.14	5060	0	CANCEL	sip:WIU9r8wKzz49IlRYuRYfv25vxvGVMrSxzH@149.171.126.14	-	"hUIaNqDhjs9e" <sip:iGaN1@175.45.176.3>	"OoFjUIvjw" <sip:WIU9r8wKzz49IlRYuRYfv25vxvGVMrSxzH@149.171.126.14>	-	-	-	51974@175.45.176.3	56023 CANCEL	58n6hKU8ewxJvIPcL5K	SIP/2.0/UDP 175.45.176.3;\x2c\x2c;\x2c,SIP/2.0/UDP 175.45.176.3;\x2c\x2c;\x2c	(empty)	-	-	-	-	223	-	-
