SrcAddr,Sport,DstAddr,Dport,Proto,State,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum
0,0,0,0,man,STA,0.005261,0,0,,,0,0,0.000000,0.000000,0,0,,,,,0.000000,0.000000,,,1741394397.186950,1741394397.181689,,,0.000000,0.000000,0.000000,,,,
59.166.0.3,1972,149.171.126.0,6881,6,FIN,0.125859,4052,172216,31,29,6,62,254125.640625,10868416.000000,74,140,65160,34752,747668634,751906714,54.756756,1230.114258,2.789757,52.652841,1421972120.337798,1421972120.463657,1.719658,0.904604,0.000000,0.000000,0.000000,1,0.125859,0.125859,0.125859
59.166.0.6,50583,149.171.126.5,80,6,FIN,1.032929,4472,248646,31,29,0,83,1914687.375000,34232.750000,86,174,65160,7240,675148815,2841790040,52.000000,1429.000000,17.768627,431.767554,1421972120.347004,1421972121.379933,12.123729,5.970688,0.000000,0.000000,0.000000,1,1.032929,1.032929,1.032929
59.166.0.5,7697,149.171.126.1,53,17,CON,0.001067,146,178,31,29,0,0,547329.000000,667291.500000,2,2,,,,,73.000000,89.000000,0.000000,0.000000,1421972120.349779,1421972120.350846,0.007000,0.002000,0.000000,0.000000,0.000000,1,0.001067,0.001067,0.001067
59.166.0.5,39158,149.171.126.8,25,6,FIN,0.104824,37318,3380,31,29,18,8,2793329.750000,251850.718750,52,42,14480,30408,1107664553,3258841212,717.653870,80.476189,222.655453,7.581916,1421972120.351032,1421972120.455856,2.048510,2.544171,0.000640,0.000510,0.000130,1,0.104824,0.104824,0.104824
59.166.0.2,1074,149.171.126.5,80,6,FIN,0.035661,690,1272,31,29,0,1,116205.375000,249684.531250,4,8,10136,8688,2413053674,2418222709,172.500000,159.000000,16.633980,11.637245,1421972120.365797,1421972120.401458,11.768000,4.964143,0.000000,0.000000,0.000000,1,0.035661,0.035661,0.035661
59.166.0.7,61098,149.171.126.0,80,6,FIN,0.082131,690,1272,31,29,0,1,50455.980469,108412.171875,4,8,10136,8688,2657246652,508690467,172.500000,159.000000,38.139926,27.737100,1421972120.366777,1421972120.448908,26.973000,11.606429,0.000000,0.000000,0.000000,1,0.082131,0.082131,0.082131
59.166.0.9,39139,149.171.126.0,80,6,FIN,0.350689,1664,88808,31,29,0,30,1995226.625000,36773.324219,32,66,65160,7240,4012220099,1874367969,52.000000,1345.575806,14.886818,379.576304,1421972120.381999,1421972120.732688,11.276678,5.395215,0.000000,0.000000,0.000000,1,0.350689,0.350689,0.350689
59.166.0.9,3712,149.171.126.1,80,6,FIN,3.599831,9048,532322,31,29,0,178,1179762.000000,19992.048828,174,366,65160,7240,855148922,3008966643,52.000000,1454.431641,29.799625,1096.411258,1421972120.395005,1421972123.994836,17.929029,9.862551,0.000000,0.000000,0.000000,1,3.599831,3.599831,3.599831
59.166.0.1,1706,149.171.126.7,80,6,CON,4.975355,4680,271676,31,29,0,91,434461.437500,7441.479004,90,184,65160,7240,2872213895,808815809,52.000000,1476.500000,75.529469,1962.595603,1421972120.403003,1421972125.378358,55.882652,27.186186,0.000000,0.000000,0.000000,1,4.975355,4.975355,4.975355
59.166.0.8,6998,149.171.126.5,53,17,CON,0.001065,146,178,31,29,0,0,548356.812500,668544.625000,2,2,,,,,73.000000,89.000000,0.000000,0.000000,1421972120.430828,1421972120.431893,0.011000,0.007000,0.000000,0.000000,0.000000,1,0.001065,0.001065,0.001065
59.166.0.8,8661,149.171.126.2,80,6,FIN,1.250904,1684,10168,31,29,3,5,10002.366211,61421.183594,14,18,10136,8688,3193052123,3307495930,120.285713,564.888916,8877.316003,7775.943738,1421972120.432094,1421972121.682998,96.197156,73.549586,0.000681,0.000557,0.000124,1,1.250904,1.250904,1.250904
59.166.0.6,1089,149.171.126.3,80,6,FIN,3.625874,17888,1032836,31,29,0,348,2275576.000000,39352.718750,344,704,65160,7240,807665416,818490986,52.000000,1467.096558,15.810965,390.844258,1421972120.437002,1421972124.062876,10.564691,5.157715,0.000000,0.000000,0.000000,1,3.625874,3.625874,3.625874
59.166.0.0,8121,149.171.126.6,80,6,FIN,1.002652,794,3952,31,29,1,1,28380.732422,5281.991699,6,10,10136,8688,987667120,993327320,132.333328,395.200012,399.372344,314.488437,1421972120.447940,1421972121.450592,200.279406,111.405781,0.000000,0.000000,0.000000,1,1.002652,1.002652,1.002652
59.166.0.3,34033,149.171.126.4,111,17,CON,0.005282,568,320,31,29,0,0,645210.125000,363498.656250,4,4,,,,,142.000000,80.000000,1.949729,1.739014,1421972120.448814,1421972120.454096,1.379667,1.235667,0.000000,0.000000,0.000000,1,0.005282,0.005282,0.005282
59.166.0.3,16975,149.171.126.4,50529,17,CON,0.002020,512,304,31,29,0,0,1520792.125000,902970.312500,4,4,,,,,128.000000,76.000000,0.713472,0.385141,1421972120.450689,1421972120.452709,0.510000,0.275333,0.000000,0.000000,0.000000,1,0.002020,0.002020,0.002020
59.166.0.3,64318,149.171.126.4,16781,6,FIN,0.006884,3680,2456,31,29,7,7,4039512.000000,2696107.000000,18,18,13032,14480,1167671739,1171253531,204.444443,136.444443,19.994749,0.503341,1421972120.454359,1421972120.461243,0.385765,0.375235,0.000638,0.000501,0.000137,1,0.006884,0.006884,0.006884
59.166.0.3,2820,149.171.126.0,6881,6,FIN,0.347095,11914,546780,31,29,16,193,273354.562500,12572719.000000,218,424,65160,34752,2897250112,2901857493,54.651375,1289.575439,2.617043,47.388208,1421972120.463789,1421972120.810884,1.595825,0.819596,0.000000,0.000000,0.000000,1,0.347095,0.347095,0.347095
59.166.0.3,39553,149.171.126.0,80,6,FIN,2.586688,1456,82818,31,29,0,27,252007.203125,4342.231934,28,62,65160,7240,4090470787,1946583687,52.000000,1335.774170,128.638055,3212.278875,1421972120.488005,1421972123.074693,95.466039,42.404723,0.000000,0.000000,0.000000,1,2.586688,2.586688,2.586688
10.40.182.1,,10.40.182.3,,2054,CON,0.001011,28,46,,,0,0,0.000000,0.000000,1,1,,,,,28.000000,46.000000,128.638055,3212.278875,1421972120.542563,1421972120.543574,95.466039,42.404723,0.000000,0.000000,0.000000,1,0.001011,0.001011,0.001011
