#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	sip
#open	2025-03-08-02-06-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	uri	date	request_from	request_to	response_from	response_to	reply_to	call_id	seq	subject	request_path	response_path	user_agent	status_code	status_msg	warning	request_body_len	response_body_len	content_type
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	string	string	string	string	vector[string]	vector[string]	string	count	string	string	count	count	string
1424244399.674088	CwKnyJ1Zf9YxxWlnvj	175.45.176.1	33215	149.171.126.16	5060	0	OPTIONS	sip:FP9RHdSUavHvEqVfBL9lOG5@149.171.126.16	-	"Fm1Q" <sip:kHQQlGAkTO3nirNjnpGucUDgr@175.45.176.1>	"Npnksf2IXn8wXp" <sip:FP9RHdSUavHvEqVfBL9lOG5@149.171.126.16>	"Fm1Q" <sip:kHQQlGAkTO3nirNjnpGucUDgr@175.45.176.1>	"Npnksf2IXn8wXp" <sip:FP9RHdSUavHvEqVfBL9lOG5@149.171.126.16>	-	43003@175.45.176.1	2560187603 OPTIONS	e6KOj	SIP/2.0/UDP 175.45.176.1;rport=33215,SIP/2.0/UDP 175.45.176.1;rport=33215	SIP/2.0/UDP 175.45.176.1	-	396	6416407 n3emf47NxgoeBIZ7f0sUcDE1sbAcpIkcs1ReXhVTEB4F8gMKuyQOrFPDen	-	209	0	-
1424244494.133847	CU2dwD2AgIYgoskHu2	175.45.176.2	48222	149.171.126.17	5060	0	REGISTER	sip:XUnE6pkQah0j5@149.171.126.17	-	"SsJl2k4Mv" <sip:PgE7xzn2oDw@175.45.176.2>	"bKmt09r02jw1esZ" <sip:XUnE6pkQah0j5@149.171.126.17>	-	-	-	29893@175.45.176.2	1582602389 REGISTER	3H7hiv2PMhPk	SIP/2.0/UDP 175.45.176.2;rport=48222,SIP/2.0/UDP 175.45.176.2;rport=48222	(empty)	-	-	-	-	216	-	-
1424244496.070475	CNYcWH3NUzIsu6eWgk	175.45.176.1	7287	149.171.126.14	5060	0	REGISTER	sip:rOtLzto@149.171.126.14	-	"6oUlf6lI4uUt" <sip:s3EafeC9E3NclHqeKlAMijrlS@175.45.176.1>	"WYPv" <sip:rOtLzto@149.171.126.14>	"6oUlf6lI4uUt" <sip:s3EafeC9E3NclHqeKlAMijrlS@175.45.176.1>	"WYPv" <sip:rOtLzto@149.171.126.14>	-	13297@175.45.176.1	1565353719 REGISTER	x95daBc	SIP/2.0/UDP 175.45.176.1;rport=7287,SIP/2.0/UDP 175.45.176.1;rport=7287	SIP/2.0/UDP 175.45.176.1	-	413	Request Entity Too Large	-	211	0	-
1424244497.519778	Ca8Eik1HZ10CZJKZB6	175.45.176.2	62358	149.171.126.16	5060	0	BYE	sip:gxBUUc74cVR22JUWv0CRNdCXt@149.171.126.16	-	"nJWJQ" <sip:uXxEItdFb9IzRGiWE0LK@175.45.176.2>	LoDop;YNgM.LR <sip:gxBUUc74cVR22JUWv0CRNdCXt@149.171.126.16>	-	-	-	2792@175.45.176.2	38781 BYE	YqmwPsJCR4iiXY3sYsChyh	SIP/2.0/UDP 175.45.176.2;rport=62358,SIP/2.0/UDP 175.45.176.2;rport=62358	(empty)	-	-	-	-	226	-	-
1424244530.216296	CX8iLZ3KbndjKXp4ti	175.45.176.2	23763	149.171.126.18	5060	0	REGISTER	sip:PyeOzGotuPHytjMxaXM@149.171.126.18	-	"qX3SI" <sip:O6iHmfVUKmQrCX19CIXInJBFMS8F@175.45.176.2>	"HPab" <sip:PyeOzGotuPHytjMxaXM@149.171.126.18>	-	-	-	33516@175.45.176.2	5707 REGISTER	Cxt77Nqre	SIP/2.0/UDP 175.45.176.2;rport=23763,SIP/2.0/UDP 175.45.176.2;rport=23763	(empty)	-	-	-	-	213	-	-
1424244778.546194	CCd5uZffvWr8mD5Hk	175.45.176.1	9250	149.171.126.19	5060	0	INVITE	sip:Zhxmor@149.171.126.19	-	"MWZnzZszBxm" <sip:MWZnzZszBxm@175.45.176.1>	"Zhxmor" <sip:Zhxmor@149.171.126.19>	"MWZnzZszBxm" <sip:MWZnzZszBxm@175.45.176.1>	"Zhxmor" <sip:Zhxmor@149.171.126.19>	-	21637@175.45.176.1	81 INVITE	-	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	SIP/2.0/UDP 175.45.176.1	-	100	TRYING	-	51	203	application/sdp
1424244778.546194	CCd5uZffvWr8mD5Hk	175.45.176.1	9250	149.171.126.19	5060	0	INVITE	sip:Zhxmor@149.171.126.19	-	"MWZnzZszBxm" <sip:MWZnzZszBxm@175.45.176.1>	"Zhxmor" <sip:Zhxmor@149.171.126.19>	"MWZnzZszBxm" <sip:MWZnzZszBxm@175.45.176.1>	"Zhxmor" <sip:Zhxmor@149.171.126.19>	-	21637@175.45.176.1	81 INVITE	-	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	SIP/2.0/UDP 175.45.176.1	-	100	TRYING	-	51	203	application/sdp
1424244892.869919	CGX48o4Ad4X06WXBU8	175.45.176.0	61561	149.171.126.15	5060	0	OPTIONS	sip:XEk2Q@149.171.126.15	-	"pOzmBImLVFLME" <sip:dCjS4PDdobiIS4Lr9OdSBvHEtL@175.45.176.0>	"2n3eoK" <sip:XEk2Q@149.171.126.15>	-	-	-	39527@175.45.176.0	13403 OPTIONS	7BMkQN Gcic9XOnr	SIP/2.0/UDP 175.45.176.0,SIP/2.0/UDP 175.45.176.0	(empty)	-	-	-	-	220	-	-
1424244921.249966	CvPrk13d15SBTHhCh5	175.45.176.0	40041	149.171.126.17	5060	0	INVITE	sip:tYiTf60GOI0q60@GMjYsUpHdjTtbxfgQwsFCzgzWtYD.org	Tue, 17 Feb 2015 05:36:00 UTC	sip:SxrMLB23ezgYmpz1NyynmH@GMjYsUpHdjTtbxfgQwsFCzgzWtYD.us	sip:B4BKnv7grniqQ0WKJ@GMjYsUpHdjTtbxfgQwsFCzgzWtYD.net	-	-	-	YXjydhOBGxwUeYajSRNaomSptesHB8Fh	853151191 INVITE	-	SIP/2.0/UDP GMjYsUpHdjTtbxfgQwsFCzgzWtYD.com,SIP/2.0/UDP GMjYsUpHdjTtbxfgQwsFCzgzWtYD.com	(empty)	QrGpAqC4xFjnjMBd	-	-	-	780	-	-
1424244933.390968	CbJThz2oN8WgKlrpza	175.45.176.0	5288	149.171.126.17	5060	0	INVITE	sip:Hk1WbDNLZhg2FtXj@149.171.126.17	-	"hIVEWen" <sip:XfROFaWl308JyPfLs0Pc8jaU1zhH@175.45.176.0>	"r8JvU2Hgu" <pex:0s1Kqo4b58QqU0v2ECmQLkN8b>	-	-	-	46869@175.45.176.0	51199 INVITE	nE8R8DEmQiKc7fl	SIP/2.0/UDP 175.45.176.0,SIP/2.0/UDP 175.45.176.0	(empty)	-	-	-	-	219	-	-
1424245001.059835	CSpY94Ol2EfLsqfaj	175.45.176.0	48434	149.171.126.16	5060	0	INVITE	sip:fD8O@149.171.126.16	-	"UUQDnUFUSTHL" <sip:T7BlPjJTw29vghA@175.45.176.0>	"mF1d" <sip:fD8O@149.171.126.16>	-	-	-	<<<eMBed/dd "t='>'" =">'>" '' 1=">"sRC="JavasCRIPt:	19514 INVITE	TBNBOBNhLVQs5bgcOV	SIP/2.0/UDP 175.45.176.0,SIP/2.0/UDP 175.45.176.0	(empty)	-	-	-	-	-	-	-
