#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	sip
#open	2025-03-08-01-45-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	uri	date	request_from	request_to	response_from	response_to	reply_to	call_id	seq	subject	request_path	response_path	user_agent	status_code	status_msg	warning	request_body_len	response_body_len	content_type
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	string	string	string	string	vector[string]	vector[string]	string	count	string	string	count	count	string
1424223105.340951	CZtlDq18tj7Jyxjpt	175.45.176.3	11539	149.171.126.13	5060	0	INVITE	sip:YNAtOAO98@149.171.126.13	-	"Dlakt" <sip:kh6MZh9rXWRdV@175.45.176.3>	"pdYLELgym" <sip:YNAtOAO98@149.171.126.13>	-	-	-	64624@175.45.176.3	2905705668 INVITE	n1xmqgo	SIP/2.0/UDP 175.45.176.3;rport=11539,SIP/2.0/UDP 175.45.176.3;rport=11539	(empty)	-	-	-	-	211	-	-
1424223148.951169	Ce5IGZ1bqDcZOoBkcj	175.45.176.0	4583	149.171.126.18	5060	0	INVITE	sip:VuMl9ijg@190.183.188.21	-	sip:0P0nlLCFpU@145.73.144.46	<sip:USERNAME@190.183.188.21;user=ip>	-	-	-	fosforito@145.73.144.46	921 INVITE	-	SIP/2.0/UDP 145.73.144.46,SIP/2.0/UDP 145.73.144.46	(empty)	-	-	-	-	-	-	-
1424223207.735408	CF6q4K17RWYXW0aQNh	175.45.176.1	22515	149.171.126.16	5060	0	CANCEL	sip:TzcXsZMN7@149.171.126.16	-	"51lT3L" <sip:vp6pAcJUg7nuc2mkZJvnBt6m@175.45.176.1>	"8FTQOE" <sip:TzcXsZMN7@149.171.126.16>	"51lT3L" <sip:vp6pAcJUg7nuc2mkZJvnBt6m@175.45.176.1>	"8FTQOE" <sip:TzcXsZMN7@149.171.126.16>	-	1058@175.45.176.1	4011449687 CANCEL	eiDJSbZu4FXjB	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	SIP/2.0/UDP 175.45.176.1;received=149.171.126.16	-	943	187150 ScYTq5MqDslaEu0Q8Q1lpx1UD1KkDDInak6OKkXh2cvwKmsNvrh1Z3GZdut1	-	217	0	-
1424223297.029646	Cxhb4b3KMXdAFgubA9	175.45.176.3	61000	149.171.126.12	5060	0	CANCEL	sip:hy6HomEcmxV4EPV2rc@149.171.126.12	-	"KofBlawKV" <sip:vFu@175.45.176.3>	"Ui8Pf" <sip:hy6HomEcmxV4EPV2rc@149.171.126.12>	"KofBlawKV" <sip:vFu@175.45.176.3>	"Ui8Pf" <sip:hy6HomEcmxV4EPV2rc@149.171.126.12>	-	22491@175.45.176.3	908620616 CANCEL	PyLAzYG02kFY5I9	SIP/2.0/UDP 175.45.176.3,SIP/2.0/UDP 175.45.176.3	SIP/2.0/UDP 175.45.176.3	-	423	Interval Too Brief	-	219	0	-
1424223301.621175	Cc8wTSa6nd5v3b28a	175.45.176.3	48615	149.171.126.10	5060	0	BYE	sip:doP2kB5c0giLA41ZjJDLD0Xq@149.171.126.10	-	"rZVg" <sip:uEVMs7vV@175.45.176.3>	"AcWAdRidE4I" <sip:doP2kB5c0giLA41ZjJDLD0Xq@149.171.126.10>	-	-	-	53436@175.45.176.3	1999607689 BYE	QBTCT4fF83NWBp8VDKXQ	SIP/2.0/UDP 175.45.176.3,SIP/2.0/UDP 175.45.176.3	(empty)	-	-	-	-	225	-	-
1424223304.027881	CchEG81CbFBFh4xGKc	175.45.176.0	3055	149.171.126.14	5060	0	BYE	sip:limvvvnm2c2jHQmTxSxVTAbPhwHONDrx@149.171.126.14	-	"svoijc8ItjT" <sip:UcmCWzVKt80t@175.45.176.0>	vfX5.IS0,t4V3 <sip:limvvvnm2c2jHQmTxSxVTAbPhwHONDrx@149.171.126.14>	-	-	-	49758@175.45.176.0	22533 BYE	uyoy3GPTCsd	SIP/2.0/UDP 175.45.176.0;rport=3055,SIP/2.0/UDP 175.45.176.0;rport=3055	(empty)	-	-	-	-	215	-	-
1424223337.128958	CeVVRp1iVUcqFNiXQf	175.45.176.2	33987	149.171.126.14	5060	0	REGISTER	sip:CUrJ@149.171.126.14	-	"5EUuTz5VCJnb" <sip:bz2zuk6xvpZq4gGIhE@175.45.176.2>	"TAzfbqy" <sip:CUrJ@149.171.126.14>	-	-	-	38554@175.45.176.2	45788 REGISTER	5ekzF mZqQYoYSM	SIP/2.0/UDP 175.45.176.2;rport=33987,SIP/2.0/UDP 175.45.176.2;rport=33987	(empty)	-	-	-	-	219	-	-
1424223583.728226	CafRUb4HKIcxBZX3Vd	175.45.176.0	34869	149.171.126.19	5060	0	INVITE	sip:bqsgld@149.171.126.19	-	"QCfVIQVOpWt" <sip:QCfVIQVOpWt@175.45.176.0>	"bqsgld" <sip:bqsgld@149.171.126.19>	"QCfVIQVOpWt" <sip:QCfVIQVOpWt@175.45.176.0>	"bqsgld" <sip:bqsgld@149.171.126.19>	-	77818@175.45.176.0	41 INVITE	-	SIP/2.0/UDP 175.45.176.0,SIP/2.0/UDP 175.45.176.0	SIP/2.0/UDP 175.45.176.0	-	100	TRYING	-	52	204	application/sdp
1424223583.728226	CafRUb4HKIcxBZX3Vd	175.45.176.0	34869	149.171.126.19	5060	0	INVITE	sip:bqsgld@149.171.126.19	-	"QCfVIQVOpWt" <sip:QCfVIQVOpWt@175.45.176.0>	"bqsgld" <sip:bqsgld@149.171.126.19>	"QCfVIQVOpWt" <sip:QCfVIQVOpWt@175.45.176.0>	"bqsgld" <sip:bqsgld@149.171.126.19>	-	77818@175.45.176.0	41 INVITE	-	SIP/2.0/UDP 175.45.176.0,SIP/2.0/UDP 175.45.176.0	SIP/2.0/UDP 175.45.176.0	-	100	TRYING	-	52	204	application/sdp
1424223699.739401	CSyTgMQwjoYNixmT3	175.45.176.1	24511	149.171.126.15	5060	0	ACK	sip:ng0wugcbwwlFFgNJSc@149.171.126.15	-	"zFYM4b1pLSv3F" <sip:ML@175.45.176.1>	"yijiMQJxo17Mzb" <sip:ng0wugcbwwlFFgNJSc@149.171.126.15>	-	-	-	56483@175.45.176.1	22432 ACK	vaMMZZK0ytqJAXSoP6At	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	(empty)	-	-	-	-	224	-	-
1424223739.076977	Cic4E43JSG3sRSmIki	175.45.176.1	18672	149.171.126.13	5060	0	INVITE	sip:FlEZM7BhKVe@149.171.126.13	-	"R6VlXXNH" <sip:Zuo2E3VUHg@175.45.176.1>	"OyvSI8swGa988" <qsMB:Zm5xfPXUbBEQKIID8ox7YFXfYeq>	-	-	-	38417@175.45.176.1	65266 INVITE	X8rWrUX2p0y5POAJj	SIP/2.0/UDP 175.45.176.1,SIP/2.0/UDP 175.45.176.1	(empty)	-	-	-	-	221	-	-
